spay_neuter,zip_code,year,month,day,day_of_week,bronx,brooklyn,manhattan,queens,staten_island,pit_bull,other,shih_tzu,chihuahua,german_shepherd,labrador_retriever,bull_dog,yorkshire_terrier,maltese,standard_poodle,husky
False,11203,2018,5,7,0,False,True,False,False,False,True,True,False,False,False,False,False,False,False,False,False
False,11208,2018,4,27,4,False,True,False,False,False,False,True,False,False,False,False,False,False,False,False,False
False,11207,2018,5,7,0,False,True,False,False,False,False,False,False,False,False,False,False,True,False,False,False
False,11208,2018,5,9,2,False,True,False,False,False,False,False,False,False,False,False,True,False,False,False,False
False,11214,2018,5,7,0,False,True,False,False,False,True,False,False,False,False,False,False,False,False,False,False
True,11236,2018,5,8,1,False,True,False,False,False,False,True,False,False,False,False,False,False,False,False,False
True,11238,2018,5,1,1,False,True,False,False,False,False,False,False,False,True,False,False,False,False,False,False
False,11206,2018,3,4,6,False,True,False,False,False,False,True,False,False,False,False,False,False,False,False,False
False,11205,2018,5,10,3,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,True
False,11208,2018,5,7,0,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False
True,11226,2018,5,9,2,False,True,False,False,False,False,True,False,False,False,False,False,False,False,False,False
False,11205,2018,5,10,3,False,True,False,False,False,False,False,False,False,False,False,False,True,False,False,False
False,11230,2018,5,12,5,False,True,False,False,False,True,False,False,False,False,False,False,False,False,False,False
False,11221,2018,5,12,5,False,True,False,False,False,True,False,False,False,False,False,False,False,False,False,False
True,11225,2018,5,14,0,False,True,False,False,False,False,True,False,False,False,False,False,False,False,False,False
True,11235,2018,5,12,5,False,True,False,False,False,False,False,False,False,False,False,True,False,False,False,False
False,11208,2018,5,15,1,False,True,False,False,False,False,True,False,False,False,False,False,False,False,False,False
False,11223,2018,5,9,2,False,True,False,False,False,False,True,False,False,False,False,False,False,False,False,False
False,11210,2018,5,14,0,False,True,False,False,False,False,True,False,False,False,False,False,False,False,False,False
False,11213,2018,5,14,0,False,True,False,False,False,False,True,False,False,False,False,False,False,False,False,False
False,11221,2018,5,13,6,False,True,False,False,False,True,False,False,False,False,False,False,False,False,False,False
False,11236,2018,4,17,1,False,True,False,False,False,False,True,False,False,False,False,False,False,False,False,False
True,11201,2018,5,17,3,False,True,False,False,False,False,False,False,False,False,True,False,False,False,False,False
False,11213,2018,5,18,4,False,True,False,False,False,True,False,False,False,False,False,False,False,False,False,False
False,11236,2018,5,20,6,False,True,False,False,False,False,True,False,False,False,False,False,False,False,False,False
False,11218,2018,5,19,5,False,True,False,False,False,False,True,False,False,False,False,False,False,False,False,False
False,11226,2018,5,19,5,False,True,False,False,False,False,True,False,False,False,False,False,False,False,False,False
False,11221,2018,5,20,6,False,True,False,False,False,True,False,False,False,False,False,False,False,False,False,False
False,11221,2018,5,18,4,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,True
False,11213,2018,5,22,1,False,True,False,False,False,True,False,False,False,False,False,False,False,False,False,False
False,11226,2018,5,22,1,False,True,False,False,False,True,False,False,False,False,False,False,False,False,False,False
False,11212,2018,5,20,6,False,True,False,False,False,False,True,False,False,False,False,False,False,False,False,False
False,11224,2018,5,23,2,False,True,False,False,False,False,True,False,False,False,False,False,False,False,False,False
False,11208,2018,5,23,2,False,True,False,False,False,True,False,False,False,False,False,False,False,False,False,False
True,11217,2018,5,24,3,False,True,False,False,False,False,True,False,False,False,False,False,False,False,False,False
True,11217,2018,5,24,3,False,True,False,False,False,False,True,False,False,False,False,False,False,False,False,False
False,11216,2018,5,28,0,False,True,False,False,False,False,True,False,False,False,False,False,False,False,False,False
False,11220,2018,5,20,6,False,True,False,False,False,False,True,False,False,False,False,False,False,False,False,False
False,11208,2018,5,28,0,False,True,False,False,False,True,False,False,False,False,False,False,False,False,False,False
False,11208,2018,5,26,5,False,True,False,False,False,False,True,False,False,False,False,False,False,False,False,False
False,11221,2018,5,26,5,False,True,False,False,False,False,False,True,False,False,False,False,False,False,False,False
False,11213,2018,5,26,5,False,True,False,False,False,False,True,False,False,False,False,False,False,False,False,False
False,11216,2018,5,24,3,False,True,False,False,False,False,True,False,False,False,False,False,False,False,False,False
False,11208,2018,5,27,6,False,True,False,False,False,False,True,False,False,False,False,False,False,False,False,False
False,11208,2018,5,26,5,False,True,False,False,False,False,True,False,False,False,False,False,False,False,False,False
True,11212,2018,5,24,3,False,True,False,False,False,True,False,False,False,False,False,False,False,False,False,False
False,11223,2018,6,1,4,False,True,False,False,False,True,False,False,False,False,False,False,False,False,False,False
False,11221,2018,6,2,5,False,True,False,False,False,False,True,False,False,False,False,False,False,False,False,False
False,11208,2018,6,2,5,False,True,False,False,False,False,True,False,False,False,False,False,False,False,False,False
False,11233,2018,6,2,5,False,True,False,False,False,True,False,False,False,False,False,False,False,False,False,False
False,11209,2018,6,5,1,False,True,False,False,False,False,True,False,False,False,False,False,False,False,False,False
False,11217,2018,6,1,4,False,True,False,False,False,False,True,False,False,False,False,False,False,False,False,False
True,11208,2018,6,1,4,False,True,False,False,False,False,True,False,False,False,False,False,False,False,False,False
False,11208,2018,6,2,5,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False
True,11236,2018,6,2,5,False,True,False,False,False,False,True,False,False,False,False,False,False,False,False,False
False,11208,2018,6,4,0,False,True,False,False,False,False,True,False,False,False,False,False,False,False,False,False
False,11222,2018,6,4,0,False,True,False,False,False,True,False,False,False,False,False,False,False,False,False,False
False,11230,2018,6,1,4,False,True,False,False,False,True,False,False,False,False,False,False,False,False,False,False
False,11223,2018,5,25,4,False,True,False,False,False,False,True,False,False,False,False,False,False,False,False,False
True,11220,2018,5,26,5,False,True,False,False,False,False,False,False,False,False,False,True,False,False,False,False
False,11222,2018,5,25,4,False,True,False,False,False,False,True,False,False,False,False,False,False,False,False,False
False,11208,2018,5,30,2,False,True,False,False,False,False,True,False,False,False,False,False,False,False,False,False
False,11208,2018,6,8,4,False,True,False,False,False,False,True,False,False,False,False,False,False,False,False,False
False,11207,2018,5,31,3,False,True,False,False,False,False,True,False,False,False,False,False,False,False,False,False
False,11204,2018,5,26,5,False,True,False,False,False,False,False,True,False,False,False,False,False,False,False,False
False,11220,2018,5,21,0,False,True,False,False,False,True,False,False,False,False,False,False,False,False,False,False
False,11238,2018,5,30,2,False,True,False,False,False,False,False,True,False,False,False,False,False,False,False,False
False,11234,2018,6,6,2,False,True,False,False,False,False,False,False,False,False,False,False,True,False,False,False
False,11231,2018,6,12,1,False,True,False,False,False,True,False,False,False,False,False,False,False,False,False,False
False,11208,2018,6,6,2,False,True,False,False,False,False,True,False,False,False,False,False,False,False,False,False
True,11217,2018,6,1,4,False,True,False,False,False,False,True,False,False,False,False,False,False,False,False,False
False,11201,2018,6,10,6,False,True,False,False,False,False,False,False,False,False,False,False,True,False,False,False
False,11225,2018,6,2,5,False,True,False,False,False,True,False,False,False,False,False,False,False,False,False,False
True,11205,2018,6,14,3,False,True,False,False,False,False,True,False,False,False,False,False,False,True,False,False
False,11207,2018,6,7,3,False,True,False,False,False,False,False,False,False,False,False,False,False,False,True,False
False,11201,2018,5,31,3,False,True,False,False,False,False,True,False,False,False,False,False,False,False,False,False
False,11205,2018,6,9,5,False,True,False,False,False,True,False,False,False,False,False,False,False,False,False,False
False,11234,2018,5,23,2,False,True,False,False,False,False,False,False,False,True,False,False,False,False,False,False
False,11203,2018,5,30,2,False,True,False,False,False,False,True,False,False,False,False,False,False,False,False,False
False,11205,2018,6,14,3,False,True,False,False,False,True,False,False,False,False,False,False,False,False,False,False
False,11205,2018,6,14,3,False,True,False,False,False,True,False,False,False,False,False,False,False,False,False,False
