date_of_bite,year,month,day,day_of_week,borough,zip_code,latitude,longitude,spay_neuter,mixed/other,pit_bull,german_shepherd,shih_tzu,chihuahua,yorkshire_terrier,bull_dog,labrador_retriever,maltese,husky,standard_poodle,cluster
2018-04-08,2018,4,8,6,brooklyn,11249,40.704501,-73.966002,False,True,False,False,False,False,False,False,False,False,False,False,0
2018-04-07,2018,4,7,5,brooklyn,11207,40.670157,-73.893835,False,True,False,False,False,False,False,False,False,False,False,False,0
2018-04-08,2018,4,8,6,brooklyn,11211,40.714084,-73.945168,True,True,False,False,False,False,False,False,False,False,False,False,0
2018-04-09,2018,4,9,0,brooklyn,11201,40.6937,-73.989859,True,True,False,False,False,False,False,False,False,False,False,False,0
2018-04-09,2018,4,9,0,brooklyn,11221,40.691426,-73.927626,True,False,False,True,False,False,False,False,False,False,False,False,0
2018-03-31,2018,3,31,5,brooklyn,11218,40.64312,-73.976446,False,False,True,False,False,False,False,False,False,False,False,False,0
2018-04-08,2018,4,8,6,brooklyn,11238,40.671331,-73.965937,True,True,False,False,False,False,False,False,False,False,False,False,0
2018-04-09,2018,4,9,0,brooklyn,11238,40.671331,-73.965937,True,False,False,False,False,False,False,False,False,False,True,False,0
2018-04-10,2018,4,10,1,brooklyn,11236,40.639413,-73.900664,False,False,True,False,False,False,False,False,False,False,False,False,0
2018-04-10,2018,4,10,1,brooklyn,11223,40.597091,-73.973469,True,False,False,False,False,False,False,False,False,True,False,False,0
2018-04-02,2018,4,2,0,brooklyn,11218,40.64312,-73.976446,True,True,False,False,False,False,False,False,False,False,False,False,0
2018-04-08,2018,4,8,6,brooklyn,11221,40.691426,-73.927626,False,False,False,False,False,False,True,False,False,False,False,False,0
2018-04-07,2018,4,7,5,brooklyn,11230,40.622089,-73.96519,False,False,True,False,False,False,False,False,False,False,False,False,0
2018-04-14,2018,4,14,5,brooklyn,11234,40.607723,-73.910649,False,True,False,False,False,False,False,False,False,False,False,False,0
2018-04-16,2018,4,16,0,brooklyn,11249,40.704501,-73.966002,True,True,False,False,False,False,False,False,False,False,False,False,0
2018-04-16,2018,4,16,0,brooklyn,11208,40.674847,-73.87248,True,True,False,False,False,False,False,False,False,False,False,False,0
2018-04-15,2018,4,15,6,brooklyn,11231,40.677916,-74.005154,False,True,False,False,False,False,False,False,False,False,False,False,0
2018-04-12,2018,4,12,3,brooklyn,11217,40.681671,-73.978529,False,False,True,False,False,False,False,False,False,False,False,False,0
2018-04-10,2018,4,10,1,brooklyn,11201,40.6937,-73.989859,True,True,False,False,False,False,False,False,False,False,False,False,0
2018-04-18,2018,4,18,2,brooklyn,11207,40.670157,-73.893835,False,False,True,False,False,False,False,False,False,False,False,False,0
2018-04-18,2018,4,18,2,brooklyn,11236,40.639413,-73.900664,False,False,True,False,False,False,False,False,False,False,False,False,0
2018-04-18,2018,4,18,2,brooklyn,11236,40.639413,-73.900664,False,True,False,False,False,False,False,False,False,False,False,False,0
2018-04-19,2018,4,19,3,brooklyn,11206,40.70187,-73.942552,False,False,True,False,False,False,False,False,False,False,False,False,0
2018-04-21,2018,4,21,5,brooklyn,11231,40.677916,-74.005154,False,False,True,False,False,False,False,False,False,False,False,False,0
2018-04-23,2018,4,23,0,brooklyn,11229,40.601293,-73.944493,False,False,False,False,True,False,False,False,False,False,False,False,0
2018-04-19,2018,4,19,3,brooklyn,11233,40.678301,-73.919932,False,False,False,True,False,False,False,False,False,False,False,False,0
2018-04-23,2018,4,23,0,brooklyn,11208,40.674847,-73.87248,False,True,False,False,False,False,False,False,False,False,False,False,0
2018-04-21,2018,4,21,5,brooklyn,11220,40.641026,-74.016688,False,False,True,False,False,False,False,False,False,False,False,False,0
2018-04-21,2018,4,21,5,brooklyn,11238,40.671331,-73.965937,False,True,False,False,False,False,False,False,False,False,False,False,0
2018-04-23,2018,4,23,0,brooklyn,11230,40.622089,-73.96519,True,False,False,True,False,False,False,False,False,False,False,False,0
2018-04-24,2018,4,24,1,brooklyn,11226,40.646409,-73.956663,True,False,False,True,False,False,False,False,False,False,False,False,0
2018-04-24,2018,4,24,1,brooklyn,11209,40.621803,-74.03015,False,False,True,False,False,False,False,False,False,False,False,False,0
2018-04-18,2018,4,18,2,brooklyn,11214,40.59969,-73.996372,False,True,False,False,False,False,False,False,False,False,False,False,0
2018-04-24,2018,4,24,1,brooklyn,11206,40.70187,-73.942552,False,False,True,False,False,False,False,False,False,False,False,False,0
2018-04-18,2018,4,18,2,brooklyn,11221,40.691426,-73.927626,False,False,False,False,False,True,False,False,False,False,False,False,0
2018-04-25,2018,4,25,2,brooklyn,11233,40.678301,-73.919932,False,False,False,False,True,False,False,False,False,False,False,False,0
2018-04-26,2018,4,26,3,brooklyn,11238,40.671331,-73.965937,False,False,True,False,False,False,False,False,False,False,False,False,0
2018-04-02,2018,4,2,0,brooklyn,11210,40.62806,-73.946309,True,True,False,False,False,False,False,False,False,False,False,False,0
2018-04-29,2018,4,29,6,brooklyn,11233,40.678301,-73.919932,False,False,True,False,False,False,False,False,False,False,False,False,0
2018-04-27,2018,4,27,4,brooklyn,11203,40.649569,-73.934327,False,True,False,False,False,False,False,False,False,False,False,False,0
2018-04-25,2018,4,25,2,brooklyn,11204,40.618815,-73.984942,True,True,False,False,False,False,False,False,False,False,False,False,0
2018-05-01,2018,5,1,1,brooklyn,11230,40.622089,-73.96519,True,False,False,True,False,False,False,False,False,False,False,False,0
2018-04-29,2018,4,29,6,brooklyn,11232,40.656541,-74.005182,True,True,False,False,False,False,False,False,False,False,False,False,0
2018-05-01,2018,5,1,1,brooklyn,11230,40.622089,-73.96519,False,True,False,False,False,False,False,False,False,False,False,False,0
2018-05-02,2018,5,2,2,brooklyn,11220,40.641026,-74.016688,False,False,True,False,False,False,False,False,False,False,False,False,0
2018-05-02,2018,5,2,2,brooklyn,11213,40.671155,-73.936266,False,False,True,False,False,False,False,False,False,False,False,False,0
2018-05-02,2018,5,2,2,brooklyn,11222,40.72779,-73.947605,True,False,False,False,False,False,False,False,True,False,False,False,0
2018-04-27,2018,4,27,4,brooklyn,11215,40.662688,-73.98674,False,False,True,False,False,False,False,False,False,False,False,False,0
2018-05-03,2018,5,3,3,brooklyn,11234,40.607723,-73.910649,False,True,False,False,False,False,False,False,False,False,False,False,0
2018-05-07,2018,5,7,0,brooklyn,11224,40.577372,-73.988706,False,False,True,False,False,False,False,False,False,False,False,False,0
2018-05-05,2018,5,5,5,brooklyn,11204,40.618815,-73.984942,False,True,False,False,False,False,False,False,False,False,False,False,0
2018-05-05,2018,5,5,5,brooklyn,11220,40.641026,-74.016688,False,True,False,False,False,False,False,False,False,False,False,False,0
2018-05-04,2018,5,4,4,brooklyn,11214,40.59969,-73.996372,True,False,False,False,False,False,True,False,False,False,False,False,0
