spay_neuter,borough,year,month,day_of_week,latitude,longitude,mixed/other,pit_bull,shih_tzu,chihuahua,german_shepherd,yorkshire_terrier
False,bronx,2018,11,1,40.842344,-73.879062,True,False,False,False,False,False
False,bronx,2018,11,1,40.829685,-73.869373,False,True,False,False,False,False
False,bronx,2018,11,1,40.830669,-73.908161,False,False,True,False,False,False
True,bronx,2018,11,3,40.843267,-73.860417,False,False,False,False,False,True
False,bronx,2018,11,3,40.843267,-73.860417,True,False,False,False,False,False
False,bronx,2018,11,1,40.86894,-73.899995,True,False,False,False,False,False
False,bronx,2018,11,5,40.81869,-73.858474,True,False,False,False,False,False
False,bronx,2018,11,2,40.890964,-73.846239,False,False,False,False,False,True
True,bronx,2018,11,1,40.842344,-73.879062,False,True,False,False,False,False
False,bronx,2018,11,1,40.875262,-73.872027,False,False,False,True,False,False
False,bronx,2018,11,4,40.846741,-73.840788,False,False,False,False,True,False
False,bronx,2018,11,3,40.875262,-73.872027,False,True,False,False,False,False
False,bronx,2018,11,5,40.837791,-73.923339,False,True,False,False,False,False
False,bronx,2018,11,3,40.846741,-73.840788,False,True,False,False,False,False
False,bronx,2018,12,5,40.868509,-73.846691,False,True,False,False,False,False
False,bronx,2018,12,0,40.843267,-73.860417,True,False,False,False,False,False
False,bronx,2018,12,0,40.862486,-73.886448,True,False,False,False,False,False
False,bronx,2018,12,0,40.875262,-73.872027,True,False,False,False,False,False
False,bronx,2018,11,1,40.862486,-73.886448,True,False,False,False,False,False
True,bronx,2018,12,2,40.829685,-73.869373,False,True,False,False,False,False
False,bronx,2018,12,6,40.868509,-73.846691,True,False,False,False,False,False
False,bronx,2018,12,6,40.852508,-73.913291,False,True,False,False,False,False
False,bronx,2018,12,6,40.852508,-73.913291,False,True,False,False,False,False
False,bronx,2018,12,6,40.814798,-73.908601,True,False,False,False,False,False
False,bronx,2018,12,2,40.845707,-73.897923,True,False,False,False,False,False
False,bronx,2018,12,4,40.875635,-73.826934,True,False,False,False,False,False
False,bronx,2018,12,0,40.862486,-73.886448,True,False,False,False,False,False
False,bronx,2018,12,0,40.837791,-73.923339,True,False,False,False,False,False
False,bronx,2018,10,1,40.846741,-73.840788,False,True,False,False,False,False
False,bronx,2018,11,5,40.825692,-73.892998,False,False,False,True,False,False
False,bronx,2018,10,5,40.842344,-73.879062,False,True,False,False,False,False
False,bronx,2018,10,5,40.842344,-73.879062,False,True,False,False,False,False
False,bronx,2018,10,5,40.81869,-73.858474,False,True,False,False,False,False
False,bronx,2018,12,2,40.868509,-73.846691,False,True,False,False,False,False
False,bronx,2018,12,3,40.825692,-73.892998,True,False,False,False,False,False
False,bronx,2018,12,3,40.846741,-73.840788,True,False,False,False,False,False
False,bronx,2018,12,0,40.829685,-73.869373,False,False,True,False,False,False
True,bronx,2018,11,3,40.868509,-73.846691,True,False,False,False,False,False
False,bronx,2018,12,2,40.842344,-73.879062,True,False,False,False,False,False
False,bronx,2018,12,3,40.862486,-73.886448,True,False,False,False,False,False
False,bronx,2018,12,5,40.842344,-73.879062,False,False,False,False,True,False
True,bronx,2018,12,6,40.846741,-73.840788,True,False,False,False,False,False
True,bronx,2019,1,6,40.868509,-73.846691,False,False,False,False,False,True
False,bronx,2019,1,6,40.830669,-73.908161,False,False,False,True,False,False
True,bronx,2019,1,0,40.875262,-73.872027,True,False,False,False,False,False
False,bronx,2019,1,0,40.825692,-73.892998,True,False,False,False,False,False
False,bronx,2019,1,2,40.875262,-73.872027,True,False,False,False,False,False
False,bronx,2018,11,6,40.890964,-73.846239,True,False,False,False,False,False
